ProviderId,MatchedProviderId,FileNo
201,123,1
202,43,1
203,164,1
204,183,1
205,137,1
206,131,1
207,132,1
208,20,1
209,123,1
210,63,1
211,124,1
212,108,1
213,53,1
214,58,1
215,72,1
216,20,1
217,164,1
218,102,1
219,156,1
220,21,1
221,200,1
222,131,1
223,170,1
224,71,1
225,198,1
226,102,1
227,62,1
228,155,1
229,40,1
230,61,1
231,130,1
232,63,1
233,28,1
234,15,1
235,41,1
236,102,1
237,66,1
238,35,1
239,47,1
240,71,1
241,40,1
242,43,1
243,145,1
244,28,1
245,117,1
246,163,1
247,171,1
248,70,1
249,110,1
250,5,1
251,144,1
252,15,1
253,156,1
254,16,1
255,113,1
256,53,1
257,82,1
258,179,1
259,24,1
260,85,1
261,159,1
262,1,1
263,151,1
264,96,1
265,163,1
266,174,1
267,71,1
268,94,1
269,104,1
270,123,1
271,114,1
272,37,1
273,41,1
274,114,1
275,160,1
276,127,1
277,115,1
278,47,1
279,143,1
280,182,1
281,70,1
282,151,1
283,164,1
284,5,1
285,188,1
286,184,1
287,173,1
288,63,1
289,182,1
290,198,1
291,156,1
292,156,1
293,170,1
294,135,1
295,72,1
296,63,1
297,63,1
298,186,1
299,136,1
300,46,1
201,89,10
202,78,10
203,123,10
204,48,10
205,84,10
206,125,10
207,47,10
208,88,10
209,138,10
210,138,10
211,19,10
212,50,10
213,80,10
214,138,10
215,172,10
216,103,10
217,48,10
218,177,10
219,157,10
220,163,10
221,18,10
222,127,10
223,18,10
224,81,10
225,41,10
226,171,10
227,127,10
228,12,10
229,38,10
230,129,10
231,14,10
232,126,10
233,99,10
234,89,10
235,191,10
236,163,10
237,138,10
238,87,10
239,186,10
240,138,10
241,89,10
242,7,10
243,109,10
244,176,10
245,49,10
246,89,10
247,73,10
248,60,10
249,15,10
250,108,10
251,101,10
252,97,10
253,80,10
254,157,10
255,78,10
256,107,10
257,157,10
258,110,10
259,127,10
260,171,10
261,8,10
262,29,10
263,179,10
264,164,10
265,18,10
266,199,10
267,76,10
268,171,10
269,30,10
270,196,10
271,191,10
272,4,10
273,26,10
274,146,10
275,113,10
276,40,10
277,13,10
278,100,10
279,98,10
280,147,10
281,138,10
282,184,10
283,20,10
284,92,10
285,68,10
286,9,10
287,35,10
288,187,10
289,171,10
290,129,10
291,105,10
292,1,10
293,157,10
294,139,10
295,65,10
296,135,10
297,77,10
298,112,10
299,37,10
300,92,10
201,26,2
202,61,2
203,186,2
204,169,2
205,169,2
206,114,2
207,28,2
208,19,2
209,78,2
210,154,2
211,168,2
212,63,2
213,87,2
214,105,2
215,103,2
216,197,2
217,24,2
218,52,2
219,54,2
220,104,2
221,175,2
222,133,2
223,31,2
224,72,2
225,91,2
226,146,2
227,147,2
228,15,2
229,10,2
230,10,2
231,121,2
232,171,2
233,29,2
234,191,2
235,118,2
236,42,2
237,52,2
238,12,2
239,44,2
240,103,2
241,166,2
242,39,2
243,10,2
244,180,2
245,195,2
246,57,2
247,12,2
248,87,2
249,160,2
250,114,2
251,61,2
252,116,2
253,75,2
254,53,2
255,114,2
256,57,2
257,14,2
258,168,2
259,144,2
260,19,2
261,57,2
262,56,2
263,159,2
264,178,2
265,21,2
266,17,2
267,53,2
268,136,2
269,160,2
270,6,2
271,178,2
272,129,2
273,121,2
274,159,2
275,191,2
276,63,2
277,96,2
278,148,2
279,67,2
280,32,2
281,89,2
282,155,2
283,164,2
284,83,2
285,187,2
286,142,2
287,32,2
288,136,2
289,102,2
290,58,2
291,21,2
292,87,2
293,9,2
294,7,2
295,97,2
296,67,2
297,18,2
298,149,2
299,101,2
300,139,2
201,110,3
202,11,3
203,183,3
204,21,3
205,198,3
206,174,3
207,57,3
208,16,3
209,92,3
210,47,3
211,99,3
212,43,3
213,170,3
214,144,3
215,168,3
216,111,3
217,120,3
218,193,3
219,29,3
220,113,3
221,191,3
222,35,3
223,10,3
224,87,3
225,69,3
226,118,3
227,149,3
228,162,3
229,164,3
230,184,3
231,27,3
232,143,3
233,37,3
234,107,3
235,43,3
236,47,3
237,121,3
238,77,3
239,16,3
240,184,3
241,163,3
242,71,3
243,29,3
244,137,3
245,42,3
246,79,3
247,192,3
248,77,3
249,177,3
250,76,3
251,40,3
252,19,3
253,83,3
254,92,3
255,1,3
256,121,3
257,47,3
258,138,3
259,27,3
260,127,3
261,126,3
262,72,3
263,49,3
264,73,3
265,69,3
266,154,3
267,57,3
268,143,3
269,97,3
270,6,3
271,5,3
272,90,3
273,25,3
274,116,3
275,50,3
276,99,3
277,134,3
278,144,3
279,181,3
280,44,3
281,108,3
282,13,3
283,5,3
284,79,3
285,17,3
286,77,3
287,64,3
288,53,3
289,127,3
290,126,3
291,106,3
292,185,3
293,99,3
294,162,3
295,174,3
296,89,3
297,15,3
298,74,3
299,119,3
300,174,3
201,38,4
202,69,4
203,80,4
204,16,4
205,89,4
206,119,4
207,14,4
208,22,4
209,118,4
210,100,4
211,135,4
212,45,4
213,60,4
214,114,4
215,141,4
216,197,4
217,164,4
218,113,4
219,35,4
220,54,4
221,147,4
222,67,4
223,69,4
224,57,4
225,94,4
226,189,4
227,118,4
228,146,4
229,57,4
230,153,4
231,80,4
232,154,4
233,94,4
234,141,4
235,113,4
236,45,4
237,89,4
238,78,4
239,158,4
240,175,4
241,28,4
242,14,4
243,11,4
244,197,4
245,185,4
246,174,4
247,8,4
248,45,4
249,118,4
250,108,4
251,200,4
252,95,4
253,21,4
254,113,4
255,195,4
256,170,4
257,195,4
258,30,4
259,36,4
260,9,4
261,50,4
262,176,4
263,36,4
264,40,4
265,86,4
266,140,4
267,178,4
268,119,4
269,81,4
270,147,4
271,171,4
272,193,4
273,100,4
274,191,4
275,167,4
276,197,4
277,78,4
278,191,4
279,19,4
280,159,4
281,172,4
282,176,4
283,75,4
284,199,4
285,155,4
286,156,4
287,87,4
288,75,4
289,14,4
290,156,4
291,99,4
292,19,4
293,113,4
294,163,4
295,20,4
296,2,4
297,172,4
298,25,4
299,22,4
300,59,4
201,194,5
202,55,5
203,56,5
204,131,5
205,40,5
206,25,5
207,113,5
208,93,5
209,149,5
210,49,5
211,198,5
212,42,5
213,197,5
214,13,5
215,11,5
216,95,5
217,33,5
218,26,5
219,39,5
220,163,5
221,71,5
222,67,5
223,87,5
224,200,5
225,134,5
226,113,5
227,39,5
228,51,5
229,144,5
230,98,5
231,135,5
232,42,5
233,183,5
234,111,5
235,42,5
236,159,5
237,21,5
238,143,5
239,34,5
240,58,5
241,86,5
242,199,5
243,69,5
244,174,5
245,159,5
246,7,5
247,141,5
248,32,5
249,107,5
250,195,5
251,36,5
252,183,5
253,112,5
254,134,5
255,112,5
256,67,5
257,126,5
258,14,5
259,3,5
260,156,5
261,48,5
262,154,5
263,112,5
264,87,5
265,190,5
266,133,5
267,16,5
268,61,5
269,28,5
270,160,5
271,152,5
272,175,5
273,140,5
274,154,5
275,107,5
276,186,5
277,166,5
278,112,5
279,127,5
280,141,5
281,23,5
282,6,5
283,157,5
284,115,5
285,155,5
286,16,5
287,150,5
288,163,5
289,56,5
290,3,5
291,60,5
292,166,5
293,30,5
294,137,5
295,107,5
296,57,5
297,14,5
298,91,5
299,50,5
300,135,5
201,72,6
202,35,6
203,123,6
204,112,6
205,31,6
206,136,6
207,164,6
208,159,6
209,167,6
210,81,6
211,138,6
212,153,6
213,192,6
214,170,6
215,177,6
216,83,6
217,187,6
218,144,6
219,184,6
220,120,6
221,51,6
222,50,6
223,178,6
224,149,6
225,2,6
226,176,6
227,65,6
228,181,6
229,92,6
230,72,6
231,146,6
232,141,6
233,107,6
234,123,6
235,194,6
236,109,6
237,100,6
238,112,6
239,196,6
240,192,6
241,56,6
242,85,6
243,124,6
244,38,6
245,39,6
246,75,6
247,120,6
248,80,6
249,96,6
250,115,6
251,105,6
252,44,6
253,130,6
254,104,6
255,93,6
256,180,6
257,90,6
258,83,6
259,130,6
260,76,6
261,23,6
262,154,6
263,130,6
264,54,6
265,197,6
266,123,6
267,104,6
268,116,6
269,13,6
270,67,6
271,18,6
272,76,6
273,160,6
274,152,6
275,78,6
276,130,6
277,174,6
278,183,6
279,162,6
280,23,6
281,4,6
282,53,6
283,89,6
284,175,6
285,120,6
286,42,6
287,101,6
288,79,6
289,9,6
290,186,6
291,170,6
292,11,6
293,116,6
294,72,6
295,98,6
296,152,6
297,17,6
298,53,6
299,167,6
300,128,6
201,169,7
202,115,7
203,166,7
204,166,7
205,126,7
206,56,7
207,85,7
208,74,7
209,142,7
210,108,7
211,106,7
212,141,7
213,119,7
214,69,7
215,181,7
216,145,7
217,24,7
218,161,7
219,27,7
220,171,7
221,118,7
222,1,7
223,152,7
224,200,7
225,73,7
226,181,7
227,125,7
228,139,7
229,82,7
230,121,7
231,95,7
232,15,7
233,147,7
234,105,7
235,121,7
236,136,7
237,142,7
238,180,7
239,62,7
240,128,7
241,163,7
242,195,7
243,59,7
244,40,7
245,200,7
246,83,7
247,30,7
248,157,7
249,56,7
250,32,7
251,47,7
252,24,7
253,85,7
254,159,7
255,196,7
256,41,7
257,149,7
258,45,7
259,12,7
260,173,7
261,123,7
262,33,7
263,180,7
264,86,7
265,183,7
266,37,7
267,37,7
268,4,7
269,54,7
270,33,7
271,163,7
272,177,7
273,84,7
274,24,7
275,43,7
276,43,7
277,104,7
278,1,7
279,82,7
280,68,7
281,126,7
282,65,7
283,145,7
284,54,7
285,182,7
286,150,7
287,161,7
288,194,7
289,149,7
290,51,7
291,9,7
292,129,7
293,123,7
294,41,7
295,135,7
296,144,7
297,135,7
298,9,7
299,62,7
300,194,7
201,23,8
202,5,8
203,3,8
204,139,8
205,124,8
206,174,8
207,32,8
208,58,8
209,173,8
210,31,8
211,32,8
212,152,8
213,192,8
214,3,8
215,81,8
216,169,8
217,121,8
218,30,8
219,68,8
220,132,8
221,15,8
222,45,8
223,135,8
224,102,8
225,143,8
226,25,8
227,141,8
228,155,8
229,98,8
230,106,8
231,63,8
232,155,8
233,17,8
234,34,8
235,170,8
236,17,8
237,167,8
238,15,8
239,74,8
240,159,8
241,146,8
242,163,8
243,160,8
244,186,8
245,108,8
246,199,8
247,33,8
248,83,8
249,149,8
250,163,8
251,151,8
252,105,8
253,6,8
254,99,8
255,80,8
256,131,8
257,116,8
258,66,8
259,192,8
260,34,8
261,200,8
262,171,8
263,147,8
264,105,8
265,5,8
266,30,8
267,161,8
268,128,8
269,62,8
270,153,8
271,11,8
272,100,8
273,195,8
274,192,8
275,160,8
276,15,8
277,30,8
278,153,8
279,169,8
280,125,8
281,86,8
282,22,8
283,102,8
284,72,8
285,198,8
286,93,8
287,25,8
288,126,8
289,70,8
290,99,8
291,24,8
292,62,8
293,156,8
294,15,8
295,53,8
296,71,8
297,177,8
298,48,8
299,99,8
300,162,8
201,147,9
202,138,9
203,38,9
204,32,9
205,172,9
206,180,9
207,105,9
208,73,9
209,166,9
210,10,9
211,13,9
212,27,9
213,6,9
214,130,9
215,6,9
216,11,9
217,5,9
218,60,9
219,190,9
220,88,9
221,176,9
222,123,9
223,166,9
224,26,9
225,129,9
226,85,9
227,99,9
228,63,9
229,137,9
230,152,9
231,33,9
232,22,9
233,140,9
234,85,9
235,138,9
236,108,9
237,166,9
238,60,9
239,26,9
240,4,9
241,197,9
242,113,9
243,63,9
244,146,9
245,96,9
246,180,9
247,116,9
248,190,9
249,102,9
250,8,9
251,96,9
252,109,9
253,33,9
254,150,9
255,36,9
256,179,9
257,73,9
258,197,9
259,71,9
260,40,9
261,152,9
262,118,9
263,62,9
264,174,9
265,109,9
266,22,9
267,131,9
268,179,9
269,166,9
270,63,9
271,179,9
272,53,9
273,25,9
274,52,9
275,3,9
276,38,9
277,81,9
278,87,9
279,113,9
280,170,9
281,51,9
282,168,9
283,60,9
284,73,9
285,24,9
286,95,9
287,173,9
288,14,9
289,22,9
290,181,9
291,158,9
292,125,9
293,43,9
294,70,9
295,44,9
296,118,9
297,53,9
298,7,9
299,92,9
300,186,9
